Player,Home,Away,Date,Team,Type,Minute
Hector Bellerin,Arsenal,West Bromwich Albion,2015-05-24,Arsenal,Yellow_Card,48
Francis Coquelin,Arsenal,West Bromwich Albion,2015-05-24,Arsenal,Substitution_Off,69
Jack Wilshere,Arsenal,West Bromwich Albion,2015-05-24,Arsenal,Goal,17
Jack Wilshere,Arsenal,West Bromwich Albion,2015-05-24,Arsenal,Substitution_Off,77
Theo Walcott,Arsenal,West Bromwich Albion,2015-05-24,Arsenal,Goal,4
Theo Walcott,Arsenal,West Bromwich Albion,2015-05-24,Arsenal,Goal,14
Theo Walcott,Arsenal,West Bromwich Albion,2015-05-24,Arsenal,Goal,37
Theo Walcott,Arsenal,West Bromwich Albion,2015-05-24,Arsenal,Substitution_Off,69
Olivier Giroud,Arsenal,West Bromwich Albion,2015-05-24,Arsenal,Substitution_On,69
Alex Oxlade-Chamberlain,Arsenal,West Bromwich Albion,2015-05-24,Arsenal,Substitution_On,77
Aaron Ramsey,Arsenal,West Bromwich Albion,2015-05-24,Arsenal,Substitution_On,69
Gareth McAuley,Arsenal,West Bromwich Albion,2015-05-24,West Bromwich Albion,Goal,57
Jonas Olsson,Arsenal,West Bromwich Albion,2015-05-24,West Bromwich Albion,Substitution_Off,51
Claudio Yacob,Arsenal,West Bromwich Albion,2015-05-24,West Bromwich Albion,Substitution_Off,60
Callum McManaman,Arsenal,West Bromwich Albion,2015-05-24,West Bromwich Albion,Substitution_Off,54
Chris Baird,Arsenal,West Bromwich Albion,2015-05-24,West Bromwich Albion,Substitution_On,60
Craig Gardner,Arsenal,West Bromwich Albion,2015-05-24,West Bromwich Albion,Substitution_On,54
Victor Anichebe,Arsenal,West Bromwich Albion,2015-05-24,West Bromwich Albion,Substitution_On,51
Leandro Bacuna,Aston Villa,Burnley,2015-05-24,Aston Villa,Substitution_Off,80
Ron Vlaar,Aston Villa,Burnley,2015-05-24,Aston Villa,Yellow_Card,53
Tom Cleverley,Aston Villa,Burnley,2015-05-24,Aston Villa,Substitution_Off,72
Scott Sinclair,Aston Villa,Burnley,2015-05-24,Aston Villa,Substitution_On,72
Alan Hutton,Aston Villa,Burnley,2015-05-24,Aston Villa,Substitution_On,80
Fredrik Ulvestad,Aston Villa,Burnley,2015-05-24,Burnley,Substitution_Off,65
Fredrik Ulvestad,Aston Villa,Burnley,2015-05-24,Burnley,Yellow_Card,29
Scott Arfield,Aston Villa,Burnley,2015-05-24,Burnley,Yellow_Card,66
Ashley Barnes,Aston Villa,Burnley,2015-05-24,Burnley,Substitution_Off,34
Danny Ings,Aston Villa,Burnley,2015-05-24,Burnley,Goal,6
Danny Ings,Aston Villa,Burnley,2015-05-24,Burnley,Substitution_Off,87
Sam Vokes,Aston Villa,Burnley,2015-05-24,Burnley,Substitution_On,34
Matthew Taylor,Aston Villa,Burnley,2015-05-24,Burnley,Substitution_On,65
Steven Reid,Aston Villa,Burnley,2015-05-24,Burnley,Substitution_On,87
John Mikel Obi,Chelsea,Sunderland,2015-05-24,Chelsea,Substitution_Off,78
Nemanja Matic,Chelsea,Sunderland,2015-05-24,Chelsea,Yellow_Card,82
Juan Cuadrado,Chelsea,Sunderland,2015-05-24,Chelsea,Substitution_Off,44
Juan Cuadrado,Chelsea,Sunderland,2015-05-24,Chelsea,Yellow_Card,42
