Player,Home,Away,Date,Team,Type,Minute
Didier Drogba,Chelsea,Sunderland,2015-05-24,Chelsea,Substitution_Off,30
Loïc Remy,Chelsea,Sunderland,2015-05-24,Chelsea,Goal,70
Loïc Remy,Chelsea,Sunderland,2015-05-24,Chelsea,Goal,88
Loïc Remy,Chelsea,Sunderland,2015-05-24,Chelsea,Substitution_On,44
Diego Costa,Chelsea,Sunderland,2015-05-24,Chelsea,Goal,37
Diego Costa,Chelsea,Sunderland,2015-05-24,Chelsea,Substitution_On,30
Andreas Christensen,Chelsea,Sunderland,2015-05-24,Chelsea,Substitution_On,78
Jack Rodwell,Chelsea,Sunderland,2015-05-24,Sunderland,Yellow_Card,32
Adam Johnson,Chelsea,Sunderland,2015-05-24,Sunderland,Substitution_Off,75
Steven Fletcher,Chelsea,Sunderland,2015-05-24,Sunderland,Goal,26
Emanuele Giaccherini,Chelsea,Sunderland,2015-05-24,Sunderland,Substitution_On,75
Brede Hangeland,Crystal Palace,Swansea City,2015-05-24,Crystal Palace,Yellow_Card,90
James McArthur,Crystal Palace,Swansea City,2015-05-24,Crystal Palace,Substitution_Off,36
Marouane Chamakh,Crystal Palace,Swansea City,2015-05-24,Crystal Palace,Goal,57
Marouane Chamakh,Crystal Palace,Swansea City,2015-05-24,Crystal Palace,Substitution_Off,66
Yannick Bolasie,Crystal Palace,Swansea City,2015-05-24,Crystal Palace,Substitution_Off,82
Fraizer Campbell,Crystal Palace,Swansea City,2015-05-24,Crystal Palace,Substitution_On,82
Glenn Murray,Crystal Palace,Swansea City,2015-05-24,Crystal Palace,Yellow_Card,89
Glenn Murray,Crystal Palace,Swansea City,2015-05-24,Crystal Palace,Substitution_On,36
Jordon Mutch,Crystal Palace,Swansea City,2015-05-24,Crystal Palace,Substitution_On,66
Leon Britton,Crystal Palace,Swansea City,2015-05-24,Swansea City,Substitution_Off,70
Nathan Dyer,Crystal Palace,Swansea City,2015-05-24,Swansea City,Substitution_Off,64
Jefferson Montero,Crystal Palace,Swansea City,2015-05-24,Swansea City,Substitution_Off,84
Matt Grimes,Crystal Palace,Swansea City,2015-05-24,Swansea City,Substitution_On,70
Modou Barrow,Crystal Palace,Swansea City,2015-05-24,Swansea City,Substitution_On,64
Kenji Gorré,Crystal Palace,Swansea City,2015-05-24,Swansea City,Substitution_On,84
Phil Jagielka,Everton,Tottenham Hotspur,2015-05-24,Everton,Yellow_Card,81
Brendan Galloway,Everton,Tottenham Hotspur,2015-05-24,Everton,Substitution_Off,84
Kevin Mirallas,Everton,Tottenham Hotspur,2015-05-24,Everton,Substitution_Off,73
Ross Barkley,Everton,Tottenham Hotspur,2015-05-24,Everton,Substitution_Off,45
Steven Naismith,Everton,Tottenham Hotspur,2015-05-24,Everton,Substitution_On,73
Sylvain Distin,Everton,Tottenham Hotspur,2015-05-24,Everton,Substitution_On,84
Muhamed Besic,Everton,Tottenham Hotspur,2015-05-24,Everton,Substitution_On,45
Mousa Dembélé,Everton,Tottenham Hotspur,2015-05-24,Tottenham Hotspur,Substitution_Off,53
Ryan Mason,Everton,Tottenham Hotspur,2015-05-24,Tottenham Hotspur,Yellow_Card,83
Nacer Chadli,Everton,Tottenham Hotspur,2015-05-24,Tottenham Hotspur,Substitution_Off,90
Harry Kane,Everton,Tottenham Hotspur,2015-05-24,Tottenham Hotspur,Goal,24
Harry Kane,Everton,Tottenham Hotspur,2015-05-24,Tottenham Hotspur,Substitution_Off,85
Roberto Soldado,Everton,Tottenham Hotspur,2015-05-24,Tottenham Hotspur,Substitution_On,90
Andros Townsend,Everton,Tottenham Hotspur,2015-05-24,Tottenham Hotspur,Substitution_On,85
Benjamin Stambouli,Everton,Tottenham Hotspur,2015-05-24,Tottenham Hotspur,Yellow_Card,80
Benjamin Stambouli,Everton,Tottenham Hotspur,2015-05-24,Tottenham Hotspur,Substitution_On,53
James Chester,Hull City,Manchester United,2015-05-24,Hull City,Substitution_Off,70
Michael Dawson,Hull City,Manchester United,2015-05-24,Hull City,Yellow_Card,90
David Meyler,Hull City,Manchester United,2015-05-24,Hull City,Substitution_Off,86
Stephen Quinn,Hull City,Manchester United,2015-05-24,Hull City,Yellow_Card,90
Dame N'Doye,Hull City,Manchester United,2015-05-24,Hull City,Substitution_Off,71
Abel Hernandez,Hull City,Manchester United,2015-05-24,Hull City,Substitution_On,70
Sone Aluko,Hull City,Manchester United,2015-05-24,Hull City,Substitution_On,71
Andrew Robertson,Hull City,Manchester United,2015-05-24,Hull City,Substitution_On,86
Chris Smalling,Hull City,Manchester United,2015-05-24,Manchester United,Yellow_Card,90
Daley Blind,Hull City,Manchester United,2015-05-24,Manchester United,Yellow_Card,57
Juan Mata,Hull City,Manchester United,2015-05-24,Manchester United,Substitution_Off,73
Ashley Young,Hull City,Manchester United,2015-05-24,Manchester United,Substitution_Off,59
Ángel di María,Hull City,Manchester United,2015-05-24,Manchester United,Substitution_Off,23
Adnan Januzaj,Hull City,Manchester United,2015-05-24,Manchester United,Substitution_On,23
Marouane Fellaini,Hull City,Manchester United,2015-05-24,Manchester United,Red_Card,77
Marouane Fellaini,Hull City,Manchester United,2015-05-24,Manchester United,Substitution_On,59
James Wilson,Hull City,Manchester United,2015-05-24,Manchester United,Substitution_On,73
Marcin Wasilewski,Leicester City,Queens Park Rangers,2015-05-24,Leicester City,Substitution_Off,45
Marc Albrighton,Leicester City,Queens Park Rangers,2015-05-24,Leicester City,Goal,43
Esteban Cambiasso,Leicester City,Queens Park Rangers,2015-05-24,Leicester City,Goal,52
Esteban Cambiasso,Leicester City,Queens Park Rangers,2015-05-24,Leicester City,Substitution_Off,76
Leonardo Ulloa,Leicester City,Queens Park Rangers,2015-05-24,Leicester City,Goal,51
Jamie Vardy,Leicester City,Queens Park Rangers,2015-05-24,Leicester City,Goal,16
Jamie Vardy,Leicester City,Queens Park Rangers,2015-05-24,Leicester City,Substitution_Off,65
Ritchie de Laet,Leicester City,Queens Park Rangers,2015-05-24,Leicester City,Substitution_On,45
Danny Drinkwater,Leicester City,Queens Park Rangers,2015-05-24,Leicester City,Substitution_On,76
Andrej Kramaric,Leicester City,Queens Park Rangers,2015-05-24,Leicester City,Goal,86
Andrej Kramaric,Leicester City,Queens Park Rangers,2015-05-24,Leicester City,Substitution_On,65
Suk-Young Yun,Leicester City,Queens Park Rangers,2015-05-24,Queens Park Rangers,Substitution_Off,85
Karl Henry,Leicester City,Queens Park Rangers,2015-05-24,Queens Park Rangers,Substitution_Off,80
Charlie Austin,Leicester City,Queens Park Rangers,2015-05-24,Queens Park Rangers,Goal,57
Brandon Comley,Leicester City,Queens Park Rangers,2015-05-24,Queens Park Rangers,Substitution_On,80
Cole Kpekawa,Leicester City,Queens Park Rangers,2015-05-24,Queens Park Rangers,Substitution_On,85
Martín Demichelis,Manchester City,Southampton,2015-05-24,Manchester City,Yellow_Card,2
Yaya Touré,Manchester City,Southampton,2015-05-24,Manchester City,Substitution_Off,66
James Milner,Manchester City,Southampton,2015-05-24,Manchester City,Substitution_Off,79
Frank Lampard,Manchester City,Southampton,2015-05-24,Manchester City,Goal,31
Frank Lampard,Manchester City,Southampton,2015-05-24,Manchester City,Substitution_Off,77
Sergio Agüero,Manchester City,Southampton,2015-05-24,Manchester City,Goal,88
Vincent Kompany,Manchester City,Southampton,2015-05-24,Manchester City,Substitution_On,79
Wilfried Bony,Manchester City,Southampton,2015-05-24,Manchester City,Substitution_On,66
Jesus Navas,Manchester City,Southampton,2015-05-24,Manchester City,Substitution_On,77
Steven Davis,Manchester City,Southampton,2015-05-24,Southampton,Substitution_Off,76
Shane Long,Manchester City,Southampton,2015-05-24,Southampton,Yellow_Card,25
Filip Djuricic,Manchester City,Southampton,2015-05-24,Southampton,Substitution_Off,59
James Ward-Prowse,Manchester City,Southampton,2015-05-24,Southampton,Substitution_On,59
Eljero Elia,Manchester City,Southampton,2015-05-24,Southampton,Substitution_On,76
Vurnon Anita,Newcastle United,West Ham United,2015-05-24,Newcastle United,Substitution_Off,89
Moussa Sissoko,Newcastle United,West Ham United,2015-05-24,Newcastle United,Goal,54
Moussa Sissoko,Newcastle United,West Ham United,2015-05-24,Newcastle United,Yellow_Card,54
Jonás Gutiérrez,Newcastle United,West Ham United,2015-05-24,Newcastle United,Goal,85
Jonás Gutiérrez,Newcastle United,West Ham United,2015-05-24,Newcastle United,Yellow_Card,86
Yoan Gouffran,Newcastle United,West Ham United,2015-05-24,Newcastle United,Substitution_On,89
Reece Burke,Newcastle United,West Ham United,2015-05-24,West Ham United,Substitution_Off,69
Cheikhou Kouyaté,Newcastle United,West Ham United,2015-05-24,West Ham United,Substitution_Off,77
Enner Valencia,Newcastle United,West Ham United,2015-05-24,West Ham United,Substitution_Off,63
James Tomkins,Newcastle United,West Ham United,2015-05-24,West Ham United,Substitution_On,69
Morgan Amalfitano,Newcastle United,West Ham United,2015-05-24,West Ham United,Yellow_Card,80
Morgan Amalfitano,Newcastle United,West Ham United,2015-05-24,West Ham United,Substitution_On,63
Elliot Lee,Newcastle United,West Ham United,2015-05-24,West Ham United,Substitution_On,77
Ryan Shawcross,Stoke City,Liverpool,2015-05-24,Stoke City,Yellow_Card,45
Marc Muniesa,Stoke City,Liverpool,2015-05-24,Stoke City,Substitution_Off,71
Erik Pieters,Stoke City,Liverpool,2015-05-24,Stoke City,Yellow_Card,77
Steven N'Zonzi,Stoke City,Liverpool,2015-05-24,Stoke City,Goal,45
Glenn Whelan,Stoke City,Liverpool,2015-05-24,Stoke City,Yellow_Card,16
Jon Walters,Stoke City,Liverpool,2015-05-24,Stoke City,Goal,30
Jon Walters,Stoke City,Liverpool,2015-05-24,Stoke City,Substitution_Off,67
Charlie Adam,Stoke City,Liverpool,2015-05-24,Stoke City,Goal,41
Charlie Adam,Stoke City,Liverpool,2015-05-24,Stoke City,Yellow_Card,8
Marko Arnautovic,Stoke City,Liverpool,2015-05-24,Stoke City,Substitution_Off,81
Mame Biram Diouf,Stoke City,Liverpool,2015-05-24,Stoke City,Goal,22
Mame Biram Diouf,Stoke City,Liverpool,2015-05-24,Stoke City,Goal,26
Peter Odemwingie,Stoke City,Liverpool,2015-05-24,Stoke City,Substitution_On,67
Marc Wilson,Stoke City,Liverpool,2015-05-24,Stoke City,Substitution_On,71
Peter Crouch,Stoke City,Liverpool,2015-05-24,Stoke City,Goal,86
Peter Crouch,Stoke City,Liverpool,2015-05-24,Stoke City,Substitution_On,81
Emre Can,Stoke City,Liverpool,2015-05-24,Liverpool,Substitution_Off,45
Martin Skrtel,Stoke City,Liverpool,2015-05-24,Liverpool,Yellow_Card,48
Alberto Moreno,Stoke City,Liverpool,2015-05-24,Liverpool,Substitution_Off,45
Lucas Leiva,Stoke City,Liverpool,2015-05-24,Liverpool,Yellow_Card,14
Joe Allen,Stoke City,Liverpool,2015-05-24,Liverpool,Substitution_Off,69
Steven Gerrard,Stoke City,Liverpool,2015-05-24,Liverpool,Goal,70
Kolo Touré,Stoke City,Liverpool,2015-05-24,Liverpool,Substitution_On,45
Rickie Lambert,Stoke City,Liverpool,2015-05-24,Liverpool,Substitution_On,69
Jordon Ibe,Stoke City,Liverpool,2015-05-24,Liverpool,Substitution_On,45
Aaron Ramsey,Arsenal,Sunderland,2015-05-20,Arsenal,Yellow_Card,18
Jack Wilshere,Arsenal,Sunderland,2015-05-20,Arsenal,Substitution_Off,67
Mesut Özil,Arsenal,Sunderland,2015-05-20,Arsenal,Substitution_Off,81
Tomas Rosicky,Arsenal,Sunderland,2015-05-20,Arsenal,Substitution_On,81
Theo Walcott,Arsenal,Sunderland,2015-05-20,Arsenal,Substitution_On,67
Adam Johnson,Arsenal,Sunderland,2015-05-20,Sunderland,Substitution_Off,75
Connor Wickham,Arsenal,Sunderland,2015-05-20,Sunderland,Substitution_Off,45
Danny Graham,Arsenal,Sunderland,2015-05-20,Sunderland,Substitution_Off,45
Jack Rodwell,Arsenal,Sunderland,2015-05-20,Sunderland,Substitution_On,45
Steven Fletcher,Arsenal,Sunderland,2015-05-20,Sunderland,Substitution_On,45
Will Buckley,Arsenal,Sunderland,2015-05-20,Sunderland,Substitution_On,75
Jonas Olsson,West Bromwich Albion,Chelsea,2015-05-18,West Bromwich Albion,Yellow_Card,37
Darren Fletcher,West Bromwich Albion,Chelsea,2015-05-18,West Bromwich Albion,Yellow_Card,29
James Morrison,West Bromwich Albion,Chelsea,2015-05-18,West Bromwich Albion,Substitution_Off,89
Callum McManaman,West Bromwich Albion,Chelsea,2015-05-18,West Bromwich Albion,Substitution_Off,54
Saido Berahino,West Bromwich Albion,Chelsea,2015-05-18,West Bromwich Albion,Goal,9
Saido Berahino,West Bromwich Albion,Chelsea,2015-05-18,West Bromwich Albion,Goal,47
Saido Berahino,West Bromwich Albion,Chelsea,2015-05-18,West Bromwich Albion,Substitution_Off,79
Chris Brunt,West Bromwich Albion,Chelsea,2015-05-18,West Bromwich Albion,Goal,60
Chris Baird,West Bromwich Albion,Chelsea,2015-05-18,West Bromwich Albion,Substitution_On,89
Craig Gardner,West Bromwich Albion,Chelsea,2015-05-18,West Bromwich Albion,Yellow_Card,63
Craig Gardner,West Bromwich Albion,Chelsea,2015-05-18,West Bromwich Albion,Substitution_On,54
Brown Ideye,West Bromwich Albion,Chelsea,2015-05-18,West Bromwich Albion,Substitution_On,79
Ruben Loftus-Cheek,West Bromwich Albion,Chelsea,2015-05-18,Chelsea,Substitution_Off,73
Loïc Remy,West Bromwich Albion,Chelsea,2015-05-18,Chelsea,Substitution_Off,79
Cesc Fàbregas,West Bromwich Albion,Chelsea,2015-05-18,Chelsea,Red_Card,29
Diego Costa,West Bromwich Albion,Chelsea,2015-05-18,Chelsea,Substitution_Off,64
Diego Costa,West Bromwich Albion,Chelsea,2015-05-18,Chelsea,Yellow_Card,28
Nathan Aké,West Bromwich Albion,Chelsea,2015-05-18,Chelsea,Substitution_On,73
Juan Cuadrado,West Bromwich Albion,Chelsea,2015-05-18,Chelsea,Yellow_Card,82
Juan Cuadrado,West Bromwich Albion,Chelsea,2015-05-18,Chelsea,Substitution_On,64
Izzy Brown,West Bromwich Albion,Chelsea,2015-05-18,Chelsea,Substitution_On,79
Jonjo Shelvey,Swansea City,Manchester City,2015-05-17,Swansea City,Substitution_Off,78
Nathan Dyer,Swansea City,Manchester City,2015-05-17,Swansea City,Substitution_Off,73
Gylfi Sigurdsson,Swansea City,Manchester City,2015-05-17,Swansea City,Goal,45
Gylfi Sigurdsson,Swansea City,Manchester City,2015-05-17,Swansea City,Substitution_Off,83
Bafétimbi Gomis,Swansea City,Manchester City,2015-05-17,Swansea City,Goal,64
Leon Britton,Swansea City,Manchester City,2015-05-17,Swansea City,Substitution_On,78
Marvin Emnes,Swansea City,Manchester City,2015-05-17,Swansea City,Substitution_On,83
Modou Barrow,Swansea City,Manchester City,2015-05-17,Swansea City,Substitution_On,73
Pablo Zabaleta,Swansea City,Manchester City,2015-05-17,Manchester City,Yellow_Card,61
Yaya Touré,Swansea City,Manchester City,2015-05-17,Manchester City,Goal,21
Yaya Touré,Swansea City,Manchester City,2015-05-17,Manchester City,Goal,74
Yaya Touré,Swansea City,Manchester City,2015-05-17,Manchester City,Substitution_Off,85
Fernandinho,Swansea City,Manchester City,2015-05-17,Manchester City,Substitution_Off,80
Fernandinho,Swansea City,Manchester City,2015-05-17,Manchester City,Yellow_Card,77
James Milner,Swansea City,Manchester City,2015-05-17,Manchester City,Goal,36
James Milner,Swansea City,Manchester City,2015-05-17,Manchester City,Yellow_Card,50
Frank Lampard,Swansea City,Manchester City,2015-05-17,Manchester City,Substitution_Off,59
Vincent Kompany,Swansea City,Manchester City,2015-05-17,Manchester City,Substitution_On,80
Wilfried Bony,Swansea City,Manchester City,2015-05-17,Manchester City,Goal,90
Wilfried Bony,Swansea City,Manchester City,2015-05-17,Manchester City,Substitution_On,85
Jesus Navas,Swansea City,Manchester City,2015-05-17,Manchester City,Substitution_On,59
David De Gea,Manchester United,Arsenal,2015-05-17,Manchester United,Substitution_Off,74
Marcos Rojo,Manchester United,Arsenal,2015-05-17,Manchester United,Substitution_Off,73
Ander Herrera,Manchester United,Arsenal,2015-05-17,Manchester United,Goal,30
Ander Herrera,Manchester United,Arsenal,2015-05-17,Manchester United,Yellow_Card,90
Falcao,Manchester United,Arsenal,2015-05-17,Manchester United,Substitution_Off,61
Robin van Persie,Manchester United,Arsenal,2015-05-17,Manchester United,Substitution_On,61
Victor Valdes,Manchester United,Arsenal,2015-05-17,Manchester United,Substitution_On,74
Tyler Blackett,Manchester United,Arsenal,2015-05-17,Manchester United,Own_Goal,82
Tyler Blackett,Manchester United,Arsenal,2015-05-17,Manchester United,Substitution_On,73
Hector Bellerin,Manchester United,Arsenal,2015-05-17,Arsenal,Substitution_Off,72
Santi Cazorla,Manchester United,Arsenal,2015-05-17,Arsenal,Substitution_Off,73
Alexis Sánchez,Manchester United,Arsenal,2015-05-17,Arsenal,Substitution_Off,90
Jack Wilshere,Manchester United,Arsenal,2015-05-17,Arsenal,Substitution_On,73
Theo Walcott,Manchester United,Arsenal,2015-05-17,Arsenal,Substitution_On,72
Mathieu Flamini,Manchester United,Arsenal,2015-05-17,Arsenal,Substitution_On,90
Victor Wanyama,Southampton,Aston Villa,2015-05-16,Southampton,Yellow_Card,69
Steven Davis,Southampton,Aston Villa,2015-05-16,Southampton,Substitution_Off,72
Shane Long,Southampton,Aston Villa,2015-05-16,Southampton,Goal,26
Shane Long,Southampton,Aston Villa,2015-05-16,Southampton,Goal,38
James Ward-Prowse,Southampton,Aston Villa,2015-05-16,Southampton,Substitution_Off,80
Sadio Mané,Southampton,Aston Villa,2015-05-16,Southampton,Goal,13
Sadio Mané,Southampton,Aston Villa,2015-05-16,Southampton,Goal,14
Sadio Mané,Southampton,Aston Villa,2015-05-16,Southampton,Goal,16
Graziano Pellè,Southampton,Aston Villa,2015-05-16,Southampton,Goal,81
Graziano Pellè,Southampton,Aston Villa,2015-05-16,Southampton,Substitution_Off,85
Maya Yoshida,Southampton,Aston Villa,2015-05-16,Southampton,Substitution_On,72
Filip Djuricic,Southampton,Aston Villa,2015-05-16,Southampton,Substitution_On,80
Eljero Elia,Southampton,Aston Villa,2015-05-16,Southampton,Substitution_On,85
Leandro Bacuna,Southampton,Aston Villa,2015-05-16,Aston Villa,Substitution_Off,67
Ashley Westwood,Southampton,Aston Villa,2015-05-16,Aston Villa,Yellow_Card,21
Charles N'Zogbia,Southampton,Aston Villa,2015-05-16,Aston Villa,Substitution_Off,57
Christian Benteke,Southampton,Aston Villa,2015-05-16,Aston Villa,Goal,45
Jack Grealish,Southampton,Aston Villa,2015-05-16,Aston Villa,Substitution_Off,82
Scott Sinclair,Southampton,Aston Villa,2015-05-16,Aston Villa,Substitution_On,82
Gabriel Agbonlahor,Southampton,Aston Villa,2015-05-16,Aston Villa,Substitution_On,57
Matthew Lowton,Southampton,Aston Villa,2015-05-16,Aston Villa,Substitution_On,67
George Boyd,Burnley,Stoke City,2015-05-16,Burnley,Yellow_Card,42
David Jones,Burnley,Stoke City,2015-05-16,Burnley,Substitution_Off,88
Matthew Taylor,Burnley,Stoke City,2015-05-16,Burnley,Substitution_Off,65
Ashley Barnes,Burnley,Stoke City,2015-05-16,Burnley,Substitution_Off,83
Sam Vokes,Burnley,Stoke City,2015-05-16,Burnley,Substitution_On,83
Michael Kightly,Burnley,Stoke City,2015-05-16,Burnley,Substitution_On,65
Fredrik Ulvestad,Burnley,Stoke City,2015-05-16,Burnley,Substitution_On,88
Steven N'Zonzi,Burnley,Stoke City,2015-05-16,Stoke City,Yellow_Card,49
Jon Walters,Burnley,Stoke City,2015-05-16,Stoke City,Substitution_Off,59
Charlie Adam,Burnley,Stoke City,2015-05-16,Stoke City,Substitution_Off,83
Marko Arnautovic,Burnley,Stoke City,2015-05-16,Stoke City,Substitution_Off,69
Mame Biram Diouf,Burnley,Stoke City,2015-05-16,Stoke City,Yellow_Card,25
Peter Odemwingie,Burnley,Stoke City,2015-05-16,Stoke City,Substitution_On,59
Steve Sidwell,Burnley,Stoke City,2015-05-16,Stoke City,Substitution_On,83
Peter Crouch,Burnley,Stoke City,2015-05-16,Stoke City,Substitution_On,69
Robert Green,Queens Park Rangers,Newcastle United,2015-05-16,Queens Park Rangers,Substitution_Off,34
Steven Caulker,Queens Park Rangers,Newcastle United,2015-05-16,Queens Park Rangers,Substitution_Off,45
Matt Phillips,Queens Park Rangers,Newcastle United,2015-05-16,Queens Park Rangers,Goal,54
Joey Barton,Queens Park Rangers,Newcastle United,2015-05-16,Queens Park Rangers,Yellow_Card,50
Junior Hoilett,Queens Park Rangers,Newcastle United,2015-05-16,Queens Park Rangers,Substitution_Off,45
Leroy Fer,Queens Park Rangers,Newcastle United,2015-05-16,Queens Park Rangers,Goal,61
Alex McCarthy,Queens Park Rangers,Newcastle United,2015-05-16,Queens Park Rangers,Substitution_On,34
Suk-Young Yun,Queens Park Rangers,Newcastle United,2015-05-16,Queens Park Rangers,Yellow_Card,84
Suk-Young Yun,Queens Park Rangers,Newcastle United,2015-05-16,Queens Park Rangers,Substitution_On,45
Reece Grego-Cox,Queens Park Rangers,Newcastle United,2015-05-16,Queens Park Rangers,Substitution_On,45
Ryan Taylor,Queens Park Rangers,Newcastle United,2015-05-16,Newcastle United,Substitution_Off,64
Rémy Cabella,Queens Park Rangers,Newcastle United,2015-05-16,Newcastle United,Substitution_Off,73
Emmanuel Riviere,Queens Park Rangers,Newcastle United,2015-05-16,Newcastle United,Goal,24
Emmanuel Riviere,Queens Park Rangers,Newcastle United,2015-05-16,Newcastle United,Substitution_Off,63
Papiss Cisse,Queens Park Rangers,Newcastle United,2015-05-16,Newcastle United,Substitution_On,63
Rolando Aarons,Queens Park Rangers,Newcastle United,2015-05-16,Newcastle United,Substitution_On,64
Sammy Ameobi,Queens Park Rangers,Newcastle United,2015-05-16,Newcastle United,Substitution_On,73
Billy Jones,Sunderland,Leicester City,2015-05-16,Sunderland,Substitution_Off,86
Liam Bridcutt,Sunderland,Leicester City,2015-05-16,Sunderland,Substitution_Off,60
Liam Bridcutt,Sunderland,Leicester City,2015-05-16,Sunderland,Yellow_Card,29
Lee Cattermole,Sunderland,Leicester City,2015-05-16,Sunderland,Yellow_Card,43
Sebastian Larsson,Sunderland,Leicester City,2015-05-16,Sunderland,Yellow_Card,79
Danny Graham,Sunderland,Leicester City,2015-05-16,Sunderland,Substitution_Off,80
Connor Wickham,Sunderland,Leicester City,2015-05-16,Sunderland,Yellow_Card,66
Steven Fletcher,Sunderland,Leicester City,2015-05-16,Sunderland,Substitution_On,80
Adam Johnson,Sunderland,Leicester City,2015-05-16,Sunderland,Substitution_On,60
Anthony Reveillere,Sunderland,Leicester City,2015-05-16,Sunderland,Substitution_On,86
Robert Huth,Sunderland,Leicester City,2015-05-16,Leicester City,Yellow_Card,63
Riyad Mahrez,Sunderland,Leicester City,2015-05-16,Leicester City,Substitution_Off,67
Leonardo Ulloa,Sunderland,Leicester City,2015-05-16,Leicester City,Substitution_Off,75
Danny Drinkwater,Sunderland,Leicester City,2015-05-16,Leicester City,Substitution_On,67
Andrej Kramaric,Sunderland,Leicester City,2015-05-16,Leicester City,Substitution_On,75
Danny Rose,Tottenham Hotspur,Hull City,2015-05-16,Tottenham Hotspur,Goal,61
Danny Rose,Tottenham Hotspur,Hull City,2015-05-16,Tottenham Hotspur,Yellow_Card,59
Ryan Mason,Tottenham Hotspur,Hull City,2015-05-16,Tottenham Hotspur,Substitution_Off,79
Ryan Mason,Tottenham Hotspur,Hull City,2015-05-16,Tottenham Hotspur,Yellow_Card,42
Nabil Bentaleb,Tottenham Hotspur,Hull City,2015-05-16,Tottenham Hotspur,Yellow_Card,57
Christian Eriksen,Tottenham Hotspur,Hull City,2015-05-16,Tottenham Hotspur,Substitution_Off,58
Nacer Chadli,Tottenham Hotspur,Hull City,2015-05-16,Tottenham Hotspur,Goal,54
Harry Kane,Tottenham Hotspur,Hull City,2015-05-16,Tottenham Hotspur,Substitution_Off,90
Roberto Soldado,Tottenham Hotspur,Hull City,2015-05-16,Tottenham Hotspur,Substitution_On,90
Mousa Dembélé,Tottenham Hotspur,Hull City,2015-05-16,Tottenham Hotspur,Substitution_On,58
Benjamin Stambouli,Tottenham Hotspur,Hull City,2015-05-16,Tottenham Hotspur,Substitution_On,79
David Meyler,Tottenham Hotspur,Hull City,2015-05-16,Hull City,Yellow_Card,90
